Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
435709,	12515,	0,	10463,	34427,	0,	
436714,	12891,	0,	10829,	35534,	0,	
437713,	12155,	0,	10212,	33708,	0,	
438718,	13135,	0,	10924,	34986,	0,	
439718,	12661,	0,	10603,	34470,	0,	
440717,	12003,	0,	10409,	26034,	0,	
441719,	10427,	0,	8705,	28631,	0,	
442719,	12777,	0,	10665,	35047,	0,	
443719,	12729,	0,	10667,	34790,	0,	
444721,	12379,	0,	10402,	34666,	0,	
445722,	12685,	0,	10567,	34035,	0,	
446723,	12647,	0,	10562,	34242,	0,	
447724,	12421,	0,	10398,	34277,	0,	
448724,	12686,	0,	10631,	34838,	0,	
449726,	12440,	0,	10413,	34520,	0,	
450728,	12092,	0,	10455,	27371,	0,	
451729,	12398,	0,	10363,	34283,	0,	
452729,	12674,	0,	10508,	34426,	0,	
453731,	12576,	0,	10498,	34376,	0,	
454732,	12416,	0,	10372,	34138,	0,	
455734,	12587,	0,	10499,	33988,	0,	
456733,	12441,	0,	10430,	34090,	0,	
457734,	12929,	0,	10677,	34323,	0,	
458736,	12570,	0,	10550,	34582,	0,	
459737,	12630,	0,	10520,	34612,	0,	
460737,	12032,	0,	10256,	29362,	0,	
461738,	12573,	0,	10536,	33919,	0,	
462739,	12419,	0,	10392,	34280,	0,	
463740,	12486,	0,	10489,	34486,	0,	
464741,	12830,	0,	10782,	35321,	0,	
465742,	12688,	0,	10618,	34401,	0,	
466743,	13030,	0,	10895,	35367,	0,	
467744,	12869,	0,	10800,	35512,	0,	
468745,	12560,	0,	10416,	34107,	0,	
469747,	13162,	0,	11024,	35741,	0,	
470748,	12327,	0,	10452,	29725,	0,	
471748,	12991,	0,	10817,	35290,	0,	
472749,	12835,	0,	10705,	35491,	0,	
473751,	12867,	0,	10781,	35459,	0,	
474751,	12751,	0,	10647,	35162,	0,	
475753,	13032,	0,	10860,	35255,	0,	
476753,	12210,	0,	10236,	33851,	0,	
477755,	12559,	0,	10480,	34366,	0,	
478756,	12656,	0,	10649,	34331,	0,	
479756,	13349,	0,	11125,	36235,	0,	
480758,	12632,	0,	10728,	30726,	0,	
481760,	12589,	0,	10539,	34780,	0,	
482761,	12724,	0,	10696,	34769,	0,	
483761,	12392,	0,	10438,	34886,	0,	
484764,	12697,	0,	10685,	34223,	0,	
485764,	12336,	0,	10366,	34449,	0,	
486764,	12964,	0,	10888,	35642,	0,	
487766,	13281,	0,	11123,	36332,	0,	
488766,	13269,	0,	11171,	36416,	0,	
489768,	13329,	0,	11127,	36404,	0,	
490769,	12409,	0,	10621,	30521,	0,	
491769,	12669,	0,	10537,	34559,	0,	
492771,	12650,	0,	10662,	34945,	0,	
493772,	12697,	0,	10626,	35165,	0,	
494774,	12712,	0,	10639,	34827,	0,	
495774,	12635,	0,	10581,	34905,	0,	
496774,	12848,	0,	10668,	35512,	0,	
497776,	12634,	0,	10602,	34450,	0,	
498777,	12767,	0,	10701,	34699,	0,	
499778,	12451,	0,	10477,	34050,	0,	
