Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
391844,	3127,	60,	2557,	2002,	0,	
392846,	2883,	54,	2341,	1917,	0,	
393852,	2968,	58,	2401,	1902,	0,	
394856,	2855,	60,	2300,	1889,	0,	
395864,	2868,	51,	2334,	1903,	0,	
396867,	2875,	53,	2319,	1882,	0,	
397872,	2935,	49,	2394,	1597,	0,	
398874,	2879,	54,	2368,	1699,	0,	
399879,	2987,	50,	2456,	1814,	0,	
400884,	2720,	38,	2357,	1407,	0,	
401887,	2770,	57,	2253,	2032,	0,	
402889,	2819,	47,	2351,	1779,	0,	
403893,	2805,	47,	2305,	2060,	0,	
404898,	2810,	57,	2270,	2090,	0,	
405905,	2736,	49,	2235,	2005,	0,	
406907,	2733,	41,	2302,	1745,	0,	
407916,	3204,	65,	2592,	2157,	0,	
408918,	2827,	51,	2305,	1956,	0,	
409922,	2819,	53,	2303,	1797,	0,	
410927,	2951,	61,	2354,	1973,	0,	
411929,	2716,	55,	2196,	1988,	0,	
412932,	2750,	52,	2249,	1942,	0,	
413935,	2918,	60,	2366,	2035,	0,	
414939,	2835,	60,	2248,	1926,	0,	
415943,	2714,	53,	2190,	2047,	0,	
416947,	2756,	40,	2332,	1936,	0,	
417953,	2828,	49,	2318,	1985,	0,	
418956,	2816,	52,	2307,	1858,	0,	
419959,	3126,	58,	2553,	2089,	0,	
420963,	2697,	41,	2266,	1964,	0,	
421972,	2694,	40,	2254,	1889,	0,	
422976,	3003,	59,	2438,	2257,	0,	
423983,	2844,	56,	2308,	1776,	0,	
424984,	2914,	46,	2418,	1693,	0,	
425988,	2945,	53,	2373,	1976,	0,	
426991,	3105,	52,	2497,	1959,	0,	
427995,	2892,	55,	2298,	1976,	0,	
429002,	2875,	63,	2262,	2162,	0,	
430003,	2919,	63,	2342,	2007,	0,	
431008,	2788,	57,	2237,	2035,	0,	
432010,	2883,	58,	2310,	1969,	0,	
433015,	3065,	54,	2502,	1956,	0,	
434019,	2880,	54,	2333,	1764,	0,	
435024,	2783,	58,	2203,	1871,	0,	
436025,	2885,	62,	2271,	2019,	0,	
437031,	2794,	58,	2243,	1982,	0,	
438033,	3131,	58,	2547,	1938,	0,	
439036,	2851,	56,	2244,	1852,	0,	
440043,	3046,	55,	2463,	1989,	0,	
441047,	3070,	56,	2450,	2011,	0,	
442050,	2678,	50,	2161,	2051,	0,	
443052,	2771,	42,	2232,	1759,	0,	
444054,	2911,	54,	2306,	2269,	0,	
445064,	2944,	58,	2370,	2205,	0,	
446073,	3021,	57,	2421,	2106,	0,	
447077,	3117,	68,	2485,	2129,	0,	
448080,	2968,	56,	2347,	2126,	0,	
449082,	2997,	50,	2423,	1993,	0,	
450087,	2776,	45,	2286,	1764,	0,	
451092,	2660,	20,	2428,	1397,	0,	
452096,	2854,	10,	2590,	1967,	0,	
453100,	2775,	10,	2535,	2108,	0,	
454101,	3003,	10,	2727,	2183,	0,	
455108,	2898,	8,	2656,	1863,	0,	
456116,	2726,	10,	2473,	1911,	0,	
457124,	2882,	12,	2623,	1760,	0,	
458129,	2708,	9,	2475,	1714,	0,	
459130,	2762,	11,	2518,	1643,	0,	
460135,	3036,	9,	2780,	1903,	0,	
461138,	2978,	12,	2739,	2033,	0,	
462141,	2784,	8,	2556,	1863,	0,	
463144,	2714,	8,	2486,	1760,	0,	
464149,	2887,	11,	2601,	1983,	0,	
465153,	2914,	12,	2654,	1958,	0,	
466158,	2819,	11,	2529,	1847,	0,	
467164,	2906,	10,	2613,	2011,	0,	
468167,	3064,	22,	2715,	2252,	0,	
469170,	3147,	20,	2739,	2417,	0,	
470173,	2915,	23,	2514,	2421,	0,	
471177,	2830,	26,	2475,	2400,	0,	
472179,	2834,	19,	2539,	2398,	0,	
473184,	2900,	23,	2565,	2323,	0,	
474187,	2813,	22,	2491,	2346,	0,	
475192,	3142,	21,	2811,	2288,	0,	
476195,	3063,	22,	2674,	2554,	0,	
477199,	3042,	21,	2698,	2179,	0,	
478205,	2969,	15,	2706,	1896,	0,	
479209,	2868,	22,	2555,	2325,	0,	
480212,	2915,	24,	2560,	2713,	0,	
481220,	2987,	20,	2699,	2530,	0,	
482223,	3008,	19,	2698,	2278,	0,	
483227,	2752,	12,	2477,	1968,	0,	
484230,	2904,	12,	2617,	1844,	0,	
485233,	2849,	11,	2565,	2051,	0,	
486239,	2900,	11,	2665,	1990,	0,	
487243,	2851,	12,	2583,	2066,	0,	
488250,	3043,	9,	2782,	1970,	0,	
489253,	3040,	6,	2766,	2121,	0,	
490255,	2953,	5,	2653,	2023,	0,	
491261,	2749,	7,	2517,	1832,	0,	
492266,	2767,	6,	2572,	2028,	0,	
493269,	2808,	5,	2599,	1822,	0,	
494274,	2865,	6,	2634,	1800,	0,	
495278,	2807,	6,	2616,	1802,	0,	
496283,	2661,	6,	2475,	1832,	0,	
497285,	2726,	4,	2515,	1666,	0,	
498290,	2752,	6,	2519,	1921,	0,	
499296,	2869,	6,	2643,	1769,	0,	
