Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
692681,	1680,	60,	1079,	719,	0,	10,	46,	
694689,	1680,	60,	1080,	720,	0,	10,	46,	
696698,	1680,	60,	1080,	720,	0,	10,	46,	
698706,	1680,	60,	1078,	720,	0,	10,	46,	
700714,	1680,	60,	1080,	721,	0,	10,	46,	
702722,	1680,	60,	1078,	719,	0,	10,	46,	
704730,	1680,	60,	1080,	720,	0,	10,	46,	
706738,	1679,	60,	1079,	720,	0,	10,	46,	
708747,	1678,	60,	1080,	721,	0,	10,	46,	
710755,	1679,	60,	1080,	719,	0,	10,	46,	
712764,	1680,	60,	1080,	721,	0,	10,	46,	
714772,	1680,	60,	1079,	719,	0,	10,	46,	
716779,	1679,	60,	1080,	721,	0,	10,	46,	
718786,	1680,	60,	1080,	719,	0,	10,	46,	
720793,	1679,	60,	1079,	720,	0,	10,	46,	
722799,	1680,	60,	1079,	721,	0,	10,	46,	
724804,	1680,	60,	1077,	719,	0,	10,	46,	
726810,	1680,	60,	1079,	720,	0,	10,	46,	
728816,	1679,	60,	1080,	721,	0,	10,	46,	
730823,	1679,	60,	1080,	719,	0,	10,	46,	
732831,	1680,	60,	1079,	720,	0,	10,	46,	
734839,	1680,	60,	1080,	720,	0,	10,	46,	
736847,	1679,	60,	1080,	720,	0,	10,	46,	
738854,	1680,	60,	1080,	720,	0,	10,	46,	
740862,	1679,	60,	1079,	721,	0,	10,	46,	
742870,	1678,	60,	1080,	720,	0,	10,	46,	
744878,	1680,	60,	1079,	719,	0,	10,	46,	
746886,	1680,	60,	1080,	720,	0,	10,	46,	
748895,	1680,	60,	1079,	721,	0,	10,	46,	
750903,	1680,	60,	1080,	719,	0,	10,	46,	
752910,	1679,	60,	1080,	720,	0,	10,	46,	
754918,	1680,	60,	1080,	721,	0,	10,	46,	
756926,	1680,	60,	1079,	720,	0,	10,	46,	
758934,	1679,	60,	1079,	720,	0,	10,	46,	
760942,	1680,	60,	1080,	719,	0,	10,	46,	
762950,	1677,	60,	1079,	721,	0,	10,	46,	
764957,	1679,	60,	1079,	719,	0,	10,	46,	
766965,	1680,	60,	1079,	720,	0,	10,	46,	
768974,	1680,	60,	1078,	721,	0,	10,	46,	
770983,	1679,	60,	1078,	719,	0,	10,	46,	
772990,	1680,	60,	1080,	720,	0,	10,	46,	
774998,	1680,	60,	1080,	721,	0,	10,	46,	
777007,	1678,	60,	1079,	719,	0,	10,	46,	
779015,	1679,	60,	1080,	721,	0,	10,	46,	
781023,	1679,	60,	1080,	719,	0,	10,	46,	
783029,	1680,	60,	1079,	721,	0,	10,	46,	
785034,	1678,	60,	1080,	719,	0,	10,	46,	
787039,	1680,	60,	1079,	720,	0,	10,	46,	
789059,	1428,	51,	918,	613,	0,	10,	46,	
791072,	1428,	51,	918,	611,	0,	10,	46,	
793079,	1680,	60,	1080,	721,	0,	10,	46,	
795086,	1680,	60,	1080,	720,	0,	10,	46,	
797093,	1680,	60,	1080,	720,	0,	10,	46,	
799100,	1680,	60,	1080,	720,	0,	10,	46,	
Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
85,	98,	18,	0,	13,	0,	0,	0,	
2091,	5876,	1079,	0,	780,	0,	0,	0,	
4096,	5875,	1081,	0,	780,	0,	0,	0,	
6098,	5781,	1062,	0,	767,	0,	0,	0,	
8103,	5873,	1080,	0,	779,	0,	0,	0,	
10109,	5878,	1080,	0,	781,	0,	0,	0,	
12115,	5875,	1080,	0,	780,	0,	0,	0,	
14120,	5878,	1080,	0,	779,	0,	0,	0,	
16126,	5879,	1079,	0,	781,	0,	0,	0,	
18131,	5875,	1080,	0,	780,	0,	0,	0,	
20136,	5803,	1067,	14,	780,	0,	2,	12,	
22144,	4618,	839,	240,	780,	0,	2,	12,	
24152,	4615,	841,	240,	780,	0,	2,	12,	
26159,	4617,	839,	240,	780,	0,	2,	12,	
28166,	4619,	841,	240,	780,	0,	2,	12,	
30171,	4617,	839,	240,	780,	0,	2,	12,	
32179,	4617,	840,	240,	780,	0,	2,	12,	
34186,	4617,	841,	240,	780,	0,	2,	12,	
36194,	4615,	840,	240,	780,	0,	2,	12,	
38202,	4615,	840,	240,	780,	0,	2,	12,	
40209,	4587,	835,	245,	780,	0,	3,	13,	
42216,	4259,	780,	300,	780,	0,	3,	13,	
44225,	4258,	780,	300,	780,	0,	3,	13,	
46233,	4256,	780,	300,	780,	0,	3,	13,	
48240,	4259,	780,	300,	779,	0,	3,	13,	
50246,	4257,	780,	300,	781,	0,	3,	13,	
52253,	4253,	780,	300,	779,	0,	3,	13,	
54260,	4255,	780,	300,	781,	0,	3,	13,	
56267,	4259,	779,	300,	780,	0,	3,	13,	
58275,	4256,	781,	300,	780,	0,	3,	13,	
60280,	4216,	773,	307,	780,	0,	4,	17,	
62287,	3900,	720,	360,	780,	0,	4,	17,	
64293,	3897,	720,	360,	779,	0,	4,	17,	
66300,	3898,	720,	360,	781,	0,	4,	17,	
68307,	3898,	720,	360,	780,	0,	4,	17,	
70314,	3898,	720,	360,	780,	0,	4,	17,	
72320,	3897,	720,	360,	779,	0,	4,	17,	
74325,	3898,	719,	360,	781,	0,	4,	17,	
76331,	3899,	721,	360,	780,	0,	4,	17,	
78337,	3899,	720,	360,	780,	0,	4,	17,	
80344,	3897,	720,	360,	780,	0,	4,	20,	
82350,	3898,	720,	360,	780,	0,	4,	20,	
84356,	3899,	720,	360,	779,	0,	4,	20,	
86364,	3899,	719,	360,	781,	0,	4,	20,	
88372,	3896,	720,	360,	780,	0,	4,	20,	
90378,	3897,	721,	359,	780,	0,	4,	20,	
92385,	3897,	720,	360,	780,	0,	4,	20,	
94393,	3899,	720,	360,	780,	0,	4,	20,	
96400,	3898,	719,	360,	780,	0,	4,	20,	
98408,	3894,	719,	360,	780,	0,	4,	20,	
